,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
65,ccfbvc310078.fits,2,0.025,"(334.11598047247696, 207.57638135127152)",11531.009,11531.0049,97.01101684570312,0.0,1.2142,0.4570685480339153,0.4841632243041274,7.3263,5.2413,1,1.0
66,ccfbvc310078.fits,2,0.0325,"(184.8611132060171, 440.92006924424857)",21063.133,8167.7979,99.3653335571289,14.328159008787408,0.8832,0.4141090543315443,0.41453224156591584,7.4877,4.8816,0,1.0
67,ccfbvc310078.fits,2,0.0244,"(289.6196762664522, 380.9206145152966)",11480.134,11480.1389,104.40986633300781,0.0,0.5196,0.2666394597665106,0.4700665317324644,7.1007,5.2591,1,1.0
68,ccfbvc310079.fits,4,0.0785,"(495.96393703150767, 225.7517658907248)",17014.646,17014.6475,110.83745765686035,0.0,0.8397,0.31513718552232883,0.19807212844618327,5.956,3.2677,1,1.0
69,ccfbvc310079.fits,5,0.115,"(230.6794844621048, 472.7010183600633)",4770.759,4770.7585,92.12974548339844,0.0,0.666,0.06556371667083116,0.07457614299332638,4.4413,2.6547,1,1.0
70,ccfbvc310079.fits,2,0.032,"(502.60259044452, 517.984404469541)",95816.31,53823.954,153.72208976745605,46.65818587005898,0.4897,0.32342695284393885,0.3198725889742625,5.9036,4.533,0,1.0
71,ccfbvc310079.fits,4,0.0789,"(207.2236629322264, 131.53999315150807)",13529.529,13529.5343,87.53677940368652,0.0,0.3738,0.23442073510386918,0.19088234684596117,5.822,3.2328,1,1.0
72,ccfbvc310079.fits,3,0.0463,"(451.96875920572296, 489.62997446686586)",2774.605,2774.5994,122.20389175415039,0.0,1.374,0.1852877743996416,0.1321002692287364,4.9349,2.624,1,1.0
73,ccfbvc310079.fits,5,0.1307,"(226.01196883404447, 59.07072518834571)",11819.911,11819.9112,102.94252014160156,0.0,0.6349,0.1918997577195657,0.12055924211477054,5.83,2.674,1,1.0
74,ccfbvc310080.fits,2,0.0243,"(212.28776449906132, 450.0919432507792)",44618.508,44618.5093,107.91812133789062,0.0,0.1404,0.20884608604248878,0.16297094695228764,6.3478,3.9458,1,1.0
75,ccfbvc310080.fits,3,0.0534,"(177.83153456643288, 506.239911164142)",21140.508,21140.512,94.39887619018555,0.0,0.4153,0.22803827000358834,0.12751788689514298,6.1706,3.7362,1,1.0
76,ccfbvc310080.fits,4,0.097,"(433.6557657389962, 16.409552369180194)",13289.783,13289.7794,98.03240203857422,0.0,0.3713,0.21838413354625208,0.16878322148741076,6.4678,3.309,1,1.0
77,ccfbvc310080.fits,8,0.2925,"(364.4109928203983, 413.49389493349105)",4056.6592,4056.6587,107.77027893066406,0.0,1.0356,0.23141537407758161,0.008014072679362605,5.0438,1.8177,1,1.0
